;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
OPO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PgM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
SM-DM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-D;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
XFT-PG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-SM;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
