;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
OPO;0;0;0;0;0;0;0;5;4;1;0;0;18;4;5
PgM;0;0;0;0;0;0;4;0;0;1;0;0;1;1;4
SM-DM;0;4;0;0;0;0;4;0;4;0;0;0;9;2;2
XFT-D;1;0;0;0;0;3;9;0;7;11;1;0;64;11;14
XFT-PG;0;0;0;1;0;0;1;0;1;0;0;0;11;0;2
XFT-SM;0;0;1;0;1;4;6;0;3;2;0;1;24;5;0
