;OPO;PgM;XFT-D;XFT-PG;XFT-SM
OPO;0;2;2;2;2
PgM;2.5;0;0;0;2.5
XFT-D;1;0.2;1.8;2.5;2.1
XFT-PG;0;0;2.25;0;1.5
XFT-SM;1;0.75;3;5;0
