;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
OPO;0;0;0;0;0;0;0;11;10;3;0;0;28;5;7
PgM;0;0;0;0;0;0;13;0;0;4;0;0;1;1;10
SM-DM;0;14;0;0;0;0;14;0;14;0;0;0;40;9;8
XFT-D;3;0;0;0;0;0;6;0;8;3;0;0;63;12;15
XFT-PG;0;0;0;1;0;0;1;0;1;0;0;0;24;0;5
XFT-SM;0;0;6;0;6;11;10;0;4;2;0;1;49;12;0
