;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
OPO;0;0;0;0;0;0;0;2.2;2.5;3;0;0;1.56;1.25;1.4
PgM;0;0;0;0;0;0;3.25;0;0;4;0;0;1;1;2.5
SM-DM;0;3.5;0;0;0;0;3.5;0;3.5;0;0;0;4.44;4.5;4
XFT-D;3;0;0;0;0;0;0.67;0;1.14;0.27;0;0;0.98;1.09;1.07
XFT-PG;0;0;0;1;0;0;1;0;1;0;0;0;2.18;0;2.5
XFT-SM;0;0;6;0;6;2.75;1.67;0;1.33;1;0;1;2.04;2.4;0
