;CIRV;DM;FVE;IT-S;LM;O-XFT;OPO;PG;PgM;SM-DM;SSE;SV;XFT-D;XFT-PG;XFT-SM
OPO;0;0;0;0;0;0;0;2.67;1.67;0;0;0;1.56;1.33;1.5
PgM;0;0;0;0;0;0;1;0;0;4;0;0;1;1;0
SM-DM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-D;0;0;0;0;0;0;0.33;0;0;0;0;0;1.24;1.33;1.36
XFT-PG;0;0;0;0;0;0;0;0;0;0;0;0;2.18;0;2.5
XFT-SM;0;0;0;0;0;0;1;0;1;0;0;0;2.04;2.4;0
