;CIRV;IT-S;O-XFT;OPO;PG;PgM;SM-DM;XFT-D;XFT-PG;XFT-SM
OPO;0;0;0;0;2.67;2;0;1.43;1.33;1.5
PgM;0;0;0;1;0;0;4;0;0;0
XFT-D;0;0;1;1.2;0;1;1;2.67;3.17;1.17
XFT-PG;0;0;0;0;0;0;0;2.25;0;3
XFT-SM;0;0;0;1;0;0;0;2.14;3.33;0
