;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager
XFT Developer;0;0;0;2;0;0
XFT Scrum Master;0;0;0;0;0;1
XFT PG;0;0;0;0;0;0
OPO;0;0;0;0;0;0
DM acting SM;0;0;0;0;0;0
Program Manager;0;0;0;3;0;0
