;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;PG
XFT Developer;1.24;1.36;1.33;0.33;0;0;0
XFT Scrum Master;2.04;0;2.4;1;0;1;0
XFT PG;2.18;2.5;0;0;0;0;0
OPO;1.56;1.5;1.33;0;0;1.67;2.67
DM acting SM;0;0;0;0;0;0;0
Program Manager;1;0;1;1;4;0;0
