;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Other XFT
XFT Developer;0;0;0;2;0;0;0
XFT Scrum Master;0;0;0;2;0;2;3
XFT PG;0;0;0;0;0;1;0
OPO;0;0;0;0;0;0;0
DM acting SM;0;0;0;0;0;0;0
Program Manager;0;2.5;0;0;0;0;0
