;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Function Verification Engineer;Line Manager;Other XFT;System Verification
XFT Developer;0;0;0;0;0;0;0;0;0;0
XFT Scrum Master;0;0;0;0;0;0;6;6;3.5;1
XFT PG;0;0;0;0;0;0;0;0;0;0
OPO;0;0;0;0;0;0;0;0;0;0
DM acting SM;0;0;0;0;0;0;0;0;0;0
Program Manager;0;2;0;4;0;0;0;0;0;0
