;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM
XFT-D;2.76;2.58;0;0;0;0
XFT-SM;1.91;0;0;0;0;0
XFT-PG;0;2;0;2;0;0
OPO;1.6;2;3;4.5;3;3
DM-SM;0;0;0;0;0;0
PgM;0;0;0;0;0;0
