;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM
XFT-D;3.09;5;0;0;0;0
XFT-SM;0;0;0;3;0;0
XFT-PG;2;0;0;0;0;0
OPO;0;0;2;0;0;4
DM-SM;0;0;0;0;0;0
PgM;0;0;0;3;0;0
