;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM
XFT-D;4.29;4.5;0;0;5;0
XFT-SM;0;0;0;3;0;0
XFT-PG;0;0;0;2;0;0
OPO;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0
PgM;0;0;0;0;0;0
