"";"Department-Manager";"Designer";"OPO";"Unknown";"XFT-D";"CCB-A";"CPI-Writer";"Feature-Pj-Leader";"Product-Manager-RBS-Sys";"RBS";"Strategic-PM";"TC";"XFT-Scrum-Master";"Manager";"Change-Leader";"Program-Manager";"Section-Manager";"Sector-Manager";"TM";"APO";"CA-Kanban-Master";"PG";"XFT-PG"
"XFT-Scrum-Master";1;2;2;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"XFT-D";0;12;1;0;34;2;1;0;1;1;0;1;9;1;0;0;0;0;0;0;0;2;1
"Department-Manager-acting-Section-Manager";3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;1;1;0;0;0;0
"PgM";0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;0;0
"XFT-PG";0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OPO";0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;2
