"";"Designer";"PG";"XFT-D";"XFT-PG";"XFT-Scrum-Master";"CCB-A";"CPI";"CPI-Project-Lead";"CPI-Writer";"DM-SM";"Feature-Pj-Leader";"OPO";"Product-Manager-RBS-Sys";"RBS";"Strategic-PM";"TC";"TR-Admin";"PgM";"Change-Leader";"Department-Manager";"Section-Manager";"Sector-Manager";"TM";"APO";"CA-Kanban-Master";"CIRV";"Project-Manager"
"XFT-D";3.6;2.5;3.28;2.5;3.24;2.75;2;2;1.75;3;1.67;2.33;2;1.67;1;2;1;0;0;0;4;0;0;0;0;0;0
"XFT-PG";0;0;2;0;2;0;0;0;0;0;0;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OPO";0;0;2;2.5;2.33;0;0;0;0;3;0;4.5;0;0;0;0;0;2.67;0;0;0;0;0;0;0;0;0
"DM-SM";0;0;2;2;2;0;0;0;0;0;0;2.5;0;0;0;0;0;3;2;2.67;2.45;2.33;2;0;0;0;0
"PgM";0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;3.25;0;3;0;0;0;0;0;3.33;3;2;0
"XFT-Scrum-Master";2;0;2.08;0;0;0;0;0;0;4.5;0;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2
