;APO;CA-KM;CCB;CIRV;CL;CPI;DM-SM;Department-Manager;FPjM;O-XFT;OPO;PG;PgM;PjM;RBS;SPM;Section-Manager;Sector-Manager;TC;TM;TR;XFT-D;XFT-PG;XFT-Scrum-Master
DM-SM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPO;0;0;0;0;0;0;3;0;0;0;4.5;0;3;0;0;0;0;0;0;0;0;1.6;3;2
PgM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-D;0;0;3;0;0;1.83;0;0;1.67;1;0;0;0;0;1.67;1;0;0;2;0;1;2.76;0;2.58
XFT-PG;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
XFT-Scrum-Master;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.91;0;0
