"";"Department-Manager";"Designer";"OPO";"Unknown";"XFT-D";"CCB-A";"CPI-Writer";"Feature-Pj-Leader";"Product-Manager-RBS-Sys";"RBS";"Strategic-PM";"TC";"XFT-Scrum-Master";"Manager";"Change-Leader";"Program-Manager";"Section-Manager";"Sector-Manager";"TM";"APO";"CA-Kanban-Master";"PG";"XFT-PG"
"XFT-Scrum-Master";1;3;2;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"XFT-D";0;13;1;0;40;3;1;1;1;2;1;1;10;1;0;0;0;0;0;0;0;3;1
"Department-Manager-acting-Section-Manager";4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;2;2;0;0;0;0
"PgM";1;0;3;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;0;0
"XFT-PG";0;0;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"OPO";0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;3
