"";"Designer";"PG";"XFT-D";"XFT-PG";"XFT-Scrum-Master";"CCB-A";"CPI";"CPI-Project-Lead";"CPI-Writer";"DM-SM";"Feature-Pj-Leader";"OPO";"Product-Manager-RBS-Sys";"RBS";"Strategic-PM";"TC";"TR-Admin";"PgM";"Change-Leader";"Department-Manager";"Section-Manager";"Sector-Manager";"TM";"APO";"CA-Kanban-Master";"CIRV";"Project-Manager"
"XFT-D";20;4;74;2;17;4;1;1;4;5;3;3;2;3;2;3;1;0;0;0;1;0;0;0;0;0;0
"XFT-PG";0;0;1;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OPO";0;0;5;4;3;0;0;0;0;1;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"DM-SM";0;0;8;1;2;0;0;0;0;0;0;2;0;0;0;0;0;2;1;6;11;3;4;0;0;0;0
"PgM";0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;4;0;3;0;0;0;0;0;3;1;1;0
"XFT-Scrum-Master";4;0;24;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3
