;DM-SM;OPO;PgM;XFT-D;XFT-PG;XFT-Scrum-Master
DM-SM;0;0;0;0;0;0
OPO;0;0;0;0.15;0.4;0
PgM;0;0;0;0;0;0
XFT-D;0;0.08;0;0.03;0.08;0
XFT-PG;0;0.2;0;0;0;0
XFT-Scrum-Master;0;0;0;0;0;0
