;APO;CA-KM;CCB;CIRV;CL;CPI;DM-SM;Department-Manager;FPjM;O-XFT;OPO;PG;PgM;PjM;RBS;SPM;Section-Manager;Sector-Manager;TC;TM;TR;XFT-D;XFT-PG;XFT-Scrum-Master
DM-SM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
PgM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-D;0;0;0;0;0;0;0;0;0;3.5;0;0;0;0;0;0;0;0;0;0;0;3.58;0;5
XFT-PG;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-Scrum-Master;0;0;0;0;0;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;6;0;0
