;DM-SM;OPO;PgM;XFT-D;XFT-PG;XFT-Scrum-Master
DM-SM;0;0;0;0;0;0
OPO;0.6;1.8;0.6;0.3;1.2;0.8
PgM;0;0;0;0;0;0
XFT-D;0;0;0;1.16;0;1.24
XFT-PG;0;0.2;0;0;0;0
XFT-Scrum-Master;0;0;0;1.76;0;0
