;CCB-A;CPI;CPI-Project-Lead;CPI-Writer;Feature-Pj-Leader;OPO;Product-Manager-RBS-Sys;RBS;Section-Manager;Strategic-PM;TC;TR-Admin;XFT-D;XFT-Scrum-Master;Designer;Manager;XFT-PG;PgM;APO;CA-Kanban-Master;Department-Manager;Project-Manager;PG;Change-Leader;Sector-Manager;TM
XFT-D;2.75;2;2;2;1;2.33;3;1.5;2.5;1;2;1;3.09;3.23;3.76;4;2.5;0;0;0;0;0;2.25;0;0;0
OPO;0;0;0;0;0;4.5;0;0;3;0;0;0;2.25;2.33;0;0;2.5;3.5;0;0;0;0;0;0;0;0
Section-Manager;0;0;0;0;0;3;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0
PgM;0;0;0;0;0;3.33;0;0;0;0;3;0;0;0;0;0;0;3;3;3;1;0;0;0;0;0
XFT-Scrum-Master;0;0;0;0;0;3;0;0;4.5;0;0;0;2.37;0;2;0;0;0;0;0;5;2;0;0;0;0
XFT-PG;0;0;0;0;0;2.2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Department-Manager;0;0;0;0;0;2;0;0;2.78;0;0;0;0;0;0;0;0;3;0;0;3.33;0;0;2;2.33;2
