"";"Designer";"PG";"XFT-D";"XFT-PG";"XFT-Scrum-Master";"CCB-A";"CPI";"CPI-Project-Lead";"CPI-Writer";"DM-SM";"Feature-Pj-Leader";"OPO";"Product-Manager-RBS-Sys";"RBS";"Strategic-PM";"TC";"TR-Admin";"PgM";"Change-Leader";"Department-Manager";"Section-Manager";"Sector-Manager";"TM";"APO";"CA-Kanban-Master";"CIRV";"Project-Manager"
"XFT-D";72;10;243;5;55;11;2;2;7;15;5;7;4;5;2;6;1;0;0;0;4;0;0;0;0;0;0
"XFT-PG";0;0;2;0;2;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"OPO";0;0;10;10;7;0;0;0;0;3;0;9;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0
"DM-SM";0;0;16;2;4;0;0;0;0;0;0;5;0;0;0;0;0;6;2;16;27;7;8;0;0;0;0
"PgM";0;0;0;0;0;0;0;0;0;4;0;18;0;0;0;13;0;9;0;0;0;0;0;10;3;2;0
"XFT-Scrum-Master";8;0;50;0;0;0;0;0;0;9;0;9;0;0;0;0;0;0;0;0;5;0;0;0;0;0;6
