;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM
XFT-D;1.24;1.36;1.33;0.33;0;0
XFT-SM;2.04;0;2.4;1;0;1
XFT-PG;2.18;2.5;0;0;0;0
OPO;1.56;1.5;1.33;0;0;1.67
DM-SM;0;0;0;0;0;0
PgM;1;0;1;1;4;0
