;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM
XFT-D;0;0;0;0;0;2
XFT-SM;0;0;0;1;0;0
XFT-PG;0;0;0;0;0;0
OPO;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0
PgM;0;3;0;0;0;0
