;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM
XFT-D;0;0;0;2;0;0
XFT-SM;0;0;0;2;0;2
XFT-PG;0;0;0;0;0;1
OPO;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0
PgM;0;2.5;0;0;0;0
