;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM;DM;O-XFT;PG;SM;SrM;TC
XFT-D;3.5;5;0;0;0;0;0;3.09;2.5;0;0;2
XFT-SM;0;0;0;3;0;0;0;1.5;0;0;0;0
XFT-PG;2;0;0;0;0;0;0;0;0;0;0;0
OPO;0;0;2;0;0;4;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0;2.5;0;0;3;3;0
PgM;0;0;0;3;0;0;0;0;0;0;0;0
