;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM;CCB;CPI;FPjM;O-XFT;RBS;SPM;TC;TR
XFT-D;1.76;2.58;0;0;0;0;3;1.83;1.67;1;1.67;1;2;1
XFT-SM;1.91;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT-PG;0;2;0;2;0;0;0;0;0;0;0;0;0;0
OPO;1.6;2;3;4.5;3;3;0;0;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PgM;0;0;0;0;0;0;0;0;0;0;0;0;0;0
