;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM;O-XFT
XFT-D;3.58;5;0;0;0;0;3.5
XFT-SM;6;0;0;0;0;0;2.5
XFT-PG;0;0;0;3;0;0;0
OPO;0;3;0;0;0;0;0
DM-SM;0;0;0;0;0;0;0
PgM;0;0;0;0;0;0;0
