;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM;FVE;LM;O-XFT;SV
XFT-D;0;0;0;0;0;0;0;0;0;0
XFT-SM;0;0;0;0;0;0;6;6;3.5;1
XFT-PG;0;0;0;0;0;0;0;0;0;0
OPO;0;0;0;0;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0;0;0;0;0
PgM;0;2;0;4;0;0;0;0;0;0
