;XFT-D;XFT-SM;XFT-PG;OPO;DM-SM;PgM;O-XFT
XFT-D;0;0;0;2;0;0;0
XFT-SM;0;0;0;2;0;2;3
XFT-PG;0;0;0;0;0;1;0
OPO;0;0;0;0;0;0;0
DM-SM;0;0;0;0;0;0;0
PgM;0;2.5;0;0;0;0;0
