;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Project Manager
XFT Developer;1.5;0;2;2;0;0;0
XFT Scrum Master;0;0;0;0;0;0;1
XFT PG;0;0;0;2;0;0;0
OPO;3;0;2;0;0;0;0
DM acting SM;0;0;0;0;0;0;0
Program Manager;0;0;0;0;0;0;0
