;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Change Control Board;Radio Base Station;Section Manager
XFT Developer;4.29;4.5;0;0;5;0;2;2;4
XFT Scrum Master;0;0;0;3;0;0;0;0;0
XFT PG;0;0;0;2;0;0;0;0;0
OPO;0;0;0;0;0;0;0;0;0
DM acting SM;0;0;0;0;0;0;0;0;0
Program Manager;0;0;0;0;0;0;0;0;0
