;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Department Manager;Other XFT;PG;Section Manager;Sector Manager;Technical Coordinator
XFT Developer;3.5;5;0;0;0;0;0;3.09;2.5;0;0;2
XFT Scrum Master;0;0;0;3;0;0;0;1.5;0;0;0;0
XFT PG;2;0;0;0;0;0;0;0;0;0;0;0
OPO;0;0;2;0;0;4;0;0;0;0;0;0
DM acting SM;0;0;0;0;0;0;2.5;0;0;3;3;0
Program Manager;0;0;0;3;0;0;0;0;0;0;0;0
