;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Change Control Board;Customer Product Information;Feature Project Manager;Other XFT;Radio Base Station;Strategic Product Manager;Technical Coordinator;Trouble Report
XFT Developer;1.76;2.58;0;0;0;0;3;1.83;1.67;1;1.67;1;2;1
XFT Scrum Master;1.91;0;0;0;0;0;0;0;0;0;0;0;0;0
XFT PG;0;2;0;2;0;0;0;0;0;0;0;0;0;0
OPO;1.6;2;3;4.5;3;3;0;0;0;0;0;0;0;0
DM acting SM;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Program Manager;0;0;0;0;0;0;0;0;0;0;0;0;0;0
