;XFT Developer;XFT Scrum Master;XFT PG;OPO;DM acting SM;Program Manager;Other XFT
XFT Developer;3.58;5;0;0;0;0;3.5
XFT Scrum Master;6;0;0;0;0;0;2.5
XFT PG;0;0;0;3;0;0;0
OPO;0;3;0;0;0;0;0
DM acting SM;0;0;0;0;0;0;0
Program Manager;0;0;0;0;0;0;0
